'Time','ECG1','ECG2'
'[10:00:01.524]',-0.110,-0.040
'[10:00:01.528]',-0.110,-0.040
'[10:00:01.532]',-0.130,-0.070
'[10:00:01.536]',-0.160,-0.100
'[10:00:01.540]',-0.160,-0.125
'[10:00:01.544]',-0.195,-0.130
'[10:00:01.548]',-0.190,-0.140
'[10:00:01.552]',-0.190,-0.130
'[10:00:01.556]',-0.180,-0.140
'[10:00:01.560]',-0.180,-0.170
'[10:00:01.564]',-0.185,-0.190
'[10:00:01.568]',-0.195,-0.175
'[10:00:01.572]',-0.215,-0.180
'[10:00:01.576]',-0.240,-0.185
'[10:00:01.580]',-0.275,-0.185
'[10:00:01.584]',-0.310,-0.160
'[10:00:01.588]',-0.320,-0.160
'[10:00:01.592]',-0.305,-0.165
'[10:00:01.596]',-0.295,-0.150
'[10:00:01.600]',-0.300,-0.160
'[10:00:01.604]',-0.290,-0.145
'[10:00:01.608]',-0.265,-0.160
'[10:00:01.612]',-0.280,-0.165
'[10:00:01.616]',-0.290,-0.165
'[10:00:01.620]',-0.305,-0.175
'[10:00:01.624]',-0.320,-0.175
'[10:00:01.628]',-0.305,-0.160
'[10:00:01.632]',-0.295,-0.170
'[10:00:01.636]',-0.295,-0.155
'[10:00:01.640]',-0.300,-0.175
'[10:00:01.644]',-0.285,-0.175
'[10:00:01.648]',-0.285,-0.170
'[10:00:01.652]',-0.280,-0.180
'[10:00:01.656]',-0.280,-0.190
'[10:00:01.660]',-0.275,-0.165
'[10:00:01.664]',-0.275,-0.150
'[10:00:01.668]',-0.250,-0.175
'[10:00:01.672]',-0.205,-0.190
'[10:00:01.676]',-0.140,-0.175
'[10:00:01.680]',-0.105,-0.190
'[10:00:01.684]',-0.055,-0.200
'[10:00:01.688]',0.040,-0.175
'[10:00:01.692]',0.220,-0.180
'[10:00:01.696]',0.390,-0.220
'[10:00:01.700]',0.600,-0.215
'[10:00:01.704]',0.740,-0.180
'[10:00:01.708]',0.830,-0.180
'[10:00:01.712]',0.875,-0.265
'[10:00:01.716]',0.885,-0.510
'[10:00:01.720]',0.835,-1.020
'[10:00:01.724]',0.750,-1.635
'[10:00:01.728]',0.665,-2.190
'[10:00:01.732]',0.615,-2.585
'[10:00:01.736]',0.600,-2.810
'[10:00:01.740]',0.575,-2.925
'[10:00:01.744]',0.595,-3.010
'[10:00:01.748]',0.590,-3.010
'[10:00:01.752]',0.530,-2.990
'[10:00:01.756]',0.405,-2.875
'[10:00:01.760]',0.295,-2.665
'[10:00:01.764]',0.170,-2.360
'[10:00:01.768]',0.155,-2.075
'[10:00:01.772]',0.225,-1.845
'[10:00:01.776]',0.315,-1.695
'[10:00:01.780]',0.345,-1.600
'[10:00:01.784]',0.290,-1.465
'[10:00:01.788]',0.150,-1.310
'[10:00:01.792]',-0.040,-1.100
'[10:00:01.796]',-0.175,-0.905
'[10:00:01.800]',-0.260,-0.735
'[10:00:01.804]',-0.235,-0.595
'[10:00:01.808]',-0.240,-0.490
'[10:00:01.812]',-0.250,-0.400
'[10:00:01.816]',-0.275,-0.300
'[10:00:01.820]',-0.315,-0.180
'[10:00:01.824]',-0.380,-0.065
'[10:00:01.828]',-0.375,0.015
'[10:00:01.832]',-0.375,0.095
'[10:00:01.836]',-0.350,0.115
'[10:00:01.840]',-0.370,0.115
'[10:00:01.844]',-0.360,0.110
'[10:00:01.848]',-0.345,0.130
'[10:00:01.852]',-0.350,0.150
'[10:00:01.856]',-0.340,0.135
'[10:00:01.860]',-0.325,0.150
'[10:00:01.864]',-0.335,0.155
'[10:00:01.868]',-0.330,0.170
'[10:00:01.872]',-0.335,0.160
'[10:00:01.876]',-0.330,0.170
'[10:00:01.880]',-0.365,0.175
'[10:00:01.884]',-0.375,0.195
'[10:00:01.888]',-0.370,0.210
'[10:00:01.892]',-0.345,0.185
'[10:00:01.896]',-0.360,0.215
'[10:00:01.900]',-0.340,0.205
'[10:00:01.904]',-0.335,0.230
'[10:00:01.908]',-0.365,0.240
'[10:00:01.912]',-0.365,0.245
'[10:00:01.916]',-0.390,0.255
'[10:00:01.920]',-0.390,0.275
'[10:00:01.924]',-0.375,0.300
'[10:00:01.928]',-0.375,0.320
'[10:00:01.932]',-0.370,0.300
'[10:00:01.936]',-0.405,0.315
'[10:00:01.940]',-0.425,0.325
'[10:00:01.944]',-0.445,0.365
'[10:00:01.948]',-0.440,0.365
'[10:00:01.952]',-0.435,0.390
'[10:00:01.956]',-0.450,0.435
'[10:00:01.960]',-0.455,0.450
'[10:00:01.964]',-0.445,0.455
'[10:00:01.968]',-0.445,0.485
'[10:00:01.972]',-0.435,0.505
'[10:00:01.976]',-0.435,0.520
'[10:00:01.980]',-0.425,0.545
'[10:00:01.984]',-0.455,0.580
'[10:00:01.988]',-0.475,0.610
'[10:00:01.992]',-0.490,0.610
'[10:00:01.996]',-0.455,0.645
'[10:00:02.000]',-0.480,0.680
'[10:00:02.004]',-0.480,0.665
'[10:00:02.008]',-0.455,0.685
'[10:00:02.012]',-0.475,0.705
'[10:00:02.016]',-0.475,0.720
'[10:00:02.020]',-0.475,0.745
'[10:00:02.024]',-0.495,0.755
'[10:00:02.028]',-0.465,0.775
'[10:00:02.032]',-0.465,0.775
'[10:00:02.036]',-0.445,0.800
'[10:00:02.040]',-0.445,0.810
'[10:00:02.044]',-0.435,0.795
'[10:00:02.048]',-0.445,0.805
'[10:00:02.052]',-0.470,0.795
'[10:00:02.056]',-0.425,0.810
'[10:00:02.060]',-0.440,0.800
'[10:00:02.064]',-0.420,0.785
'[10:00:02.068]',-0.390,0.770
'[10:00:02.072]',-0.385,0.740
'[10:00:02.076]',-0.355,0.710
'[10:00:02.080]',-0.340,0.690
'[10:00:02.084]',-0.335,0.635
'[10:00:02.088]',-0.315,0.615
'[10:00:02.092]',-0.310,0.570
'[10:00:02.096]',-0.320,0.540
'[10:00:02.100]',-0.310,0.490
'[10:00:02.104]',-0.290,0.460
'[10:00:02.108]',-0.260,0.395
'[10:00:02.112]',-0.255,0.325
'[10:00:02.116]',-0.225,0.295
'[10:00:02.120]',-0.240,0.240
'[10:00:02.124]',-0.240,0.235
'[10:00:02.128]',-0.245,0.205
'[10:00:02.132]',-0.230,0.145
'[10:00:02.136]',-0.235,0.110
'[10:00:02.140]',-0.240,0.065
'[10:00:02.144]',-0.235,0.065
'[10:00:02.148]',-0.230,0.065
'[10:00:02.152]',-0.240,0.020
'[10:00:02.156]',-0.215,-0.015
'[10:00:02.160]',-0.225,0.000
'[10:00:02.164]',-0.260,-0.010
'[10:00:02.168]',-0.255,-0.015
'[10:00:02.172]',-0.265,-0.005
'[10:00:02.176]',-0.255,-0.025
'[10:00:02.180]',-0.250,-0.020
'[10:00:02.184]',-0.245,-0.020
'[10:00:02.188]',-0.245,-0.020
'[10:00:02.192]',-0.220,-0.025
'[10:00:02.196]',-0.245,-0.015
'[10:00:02.200]',-0.260,-0.020
'[10:00:02.204]',-0.280,-0.020
'[10:00:02.208]',-0.300,0.000
'[10:00:02.212]',-0.295,0.000
'[10:00:02.216]',-0.290,0.005
'[10:00:02.220]',-0.295,0.000
'[10:00:02.224]',-0.290,0.000
'[10:00:02.228]',-0.275,0.005
'[10:00:02.232]',-0.270,0.000
'[10:00:02.236]',-0.290,0.015
'[10:00:02.240]',-0.295,0.020
'[10:00:02.244]',-0.290,0.025
'[10:00:02.248]',-0.295,0.030
'[10:00:02.252]',-0.305,0.025
'[10:00:02.256]',-0.285,0.040
'[10:00:02.260]',-0.265,0.010
'[10:00:02.264]',-0.260,0.020
'[10:00:02.268]',-0.280,0.000
'[10:00:02.272]',-0.270,0.000
'[10:00:02.276]',-0.290,0.020
'[10:00:02.280]',-0.280,0.000
'[10:00:02.284]',-0.285,-0.005
'[10:00:02.288]',-0.280,0.005
'[10:00:02.292]',-0.290,0.000
'[10:00:02.296]',-0.290,-0.005
'[10:00:02.300]',-0.275,-0.025
'[10:00:02.304]',-0.260,-0.040
'[10:00:02.308]',-0.270,-0.030
'[10:00:02.312]',-0.270,-0.050
'[10:00:02.316]',-0.280,-0.045
'[10:00:02.320]',-0.280,-0.040
'[10:00:02.324]',-0.270,-0.045
'[10:00:02.328]',-0.245,-0.045
'[10:00:02.332]',-0.215,-0.050
'[10:00:02.336]',-0.195,-0.070
'[10:00:02.340]',-0.185,-0.065
'[10:00:02.344]',-0.175,-0.050
'[10:00:02.348]',-0.140,-0.055
'[10:00:02.352]',-0.140,-0.040
'[10:00:02.356]',-0.125,-0.020
'[10:00:02.360]',-0.100,-0.005
'[10:00:02.364]',-0.090,0.010
'[10:00:02.368]',-0.055,0.010
'[10:00:02.372]',-0.015,0.025
'[10:00:02.376]',-0.040,0.020
'[10:00:02.380]',-0.015,0.030
'[10:00:02.384]',-0.075,0.025
'[10:00:02.388]',-0.115,0.015
'[10:00:02.392]',-0.145,0.020
'[10:00:02.396]',-0.165,0.000
'[10:00:02.400]',-0.155,-0.050
'[10:00:02.404]',-0.140,-0.075
'[10:00:02.408]',-0.145,-0.080
'[10:00:02.412]',-0.165,-0.110
'[10:00:02.416]',-0.180,-0.100
'[10:00:02.420]',-0.165,-0.100
'[10:00:02.424]',-0.215,-0.115
'[10:00:02.428]',-0.220,-0.130
'[10:00:02.432]',-0.260,-0.115
'[10:00:02.436]',-0.275,-0.105
'[10:00:02.440]',-0.300,-0.105
'[10:00:02.444]',-0.295,-0.120
'[10:00:02.448]',-0.315,-0.110
'[10:00:02.452]',-0.320,-0.115
'[10:00:02.456]',-0.310,-0.110
'[10:00:02.460]',-0.320,-0.095
'[10:00:02.464]',-0.320,-0.100
'[10:00:02.468]',-0.340,-0.110
'[10:00:02.472]',-0.330,-0.100
'[10:00:02.476]',-0.325,-0.120
'[10:00:02.480]',-0.320,-0.105
'[10:00:02.484]',-0.320,-0.130
'[10:00:02.488]',-0.300,-0.125
'[10:00:02.492]',-0.325,-0.115
'[10:00:02.496]',-0.355,-0.115
'[10:00:02.500]',-0.345,-0.110
'[10:00:02.504]',-0.340,-0.090
'[10:00:02.508]',-0.320,-0.120
'[10:00:02.512]',-0.315,-0.140
'[10:00:02.516]',-0.300,-0.115
'[10:00:02.520]',-0.300,-0.100
'[10:00:02.524]',-0.300,-0.125
'[10:00:02.528]',-0.300,-0.120
'[10:00:02.532]',-0.285,-0.115
'[10:00:02.536]',-0.275,-0.120
'[10:00:02.540]',-0.215,-0.115
'[10:00:02.544]',-0.150,-0.115
'[10:00:02.548]',-0.035,-0.115
'[10:00:02.552]',0.145,-0.120
'[10:00:02.556]',0.350,-0.140
'[10:00:02.560]',0.590,-0.135
'[10:00:02.564]',0.825,-0.165
'[10:00:02.568]',0.990,-0.140
'[10:00:02.572]',1.105,-0.100
'[10:00:02.576]',1.135,-0.195
'[10:00:02.580]',1.135,-0.560
'[10:00:02.584]',1.095,-1.145
'[10:00:02.588]',1.025,-1.785
'[10:00:02.592]',0.915,-2.365
'[10:00:02.596]',0.880,-2.720
'[10:00:02.600]',0.860,-2.915
'[10:00:02.604]',0.855,-3.010
'[10:00:02.608]',0.835,-3.060
'[10:00:02.612]',0.820,-3.060
'[10:00:02.616]',0.770,-3.040
'[10:00:02.620]',0.700,-2.945
'[10:00:02.624]',0.565,-2.750
'[10:00:02.628]',0.455,-2.480
'[10:00:02.632]',0.385,-2.215
'[10:00:02.636]',0.420,-1.985
'[10:00:02.640]',0.525,-1.780
'[10:00:02.644]',0.575,-1.675
'[10:00:02.648]',0.545,-1.565
'[10:00:02.652]',0.405,-1.380
'[10:00:02.656]',0.165,-1.195
'[10:00:02.660]',-0.010,-0.975
'[10:00:02.664]',-0.160,-0.770
'[10:00:02.668]',-0.185,-0.590
'[10:00:02.672]',-0.210,-0.475
'[10:00:02.676]',-0.205,-0.375
'[10:00:02.680]',-0.285,-0.275
'[10:00:02.684]',-0.340,-0.140
'[10:00:02.688]',-0.405,-0.015
'[10:00:02.692]',-0.385,0.090
'[10:00:02.696]',-0.410,0.190
'[10:00:02.700]',-0.420,0.195
'[10:00:02.704]',-0.410,0.180
'[10:00:02.708]',-0.380,0.195
'[10:00:02.712]',-0.390,0.180
'[10:00:02.716]',-0.375,0.200
'[10:00:02.720]',-0.350,0.200
'[10:00:02.724]',-0.365,0.235
